target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC265/A/AC/34304775.c::main,1000,78274,22220,8499,47371,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35285498.c::main,840,78889,21999,8469,48279,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC265/A/AC/34214327.c::main,426,79747,22606,8410,48587,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC270/A/AC/35145227.c::main,963,80606,22217,8842,49354,2
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC268/A/AC/34742787.c::main,1000,80160,21864,8322,49826,2
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC270/A/AC/35380208.c::main,1000,80473,22705,8599,48934,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35285630.c::main,914,78831,22176,8428,48099,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC272/A/AC/35479310.c::main,1000,79728,22606,8807,48148,2
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC265/A/AC/35261378.c::main,1000,80533,22368,8507,49509,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC272/A/AC/35495834.c::main,895,79269,22089,8607,48367,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35098646.c::main,1000,49421,22423,8088,18749,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC271/A/AC/35279355.c::main,1000,52359,22400,8280,21491,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35176787.c::main,1000,49127,22947,8006,18011,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC272/A/AC/35495834.c::main,1000,49210,22770,8048,18227,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC269/A/AC/34983063.c::main,1000,48968,22388,8131,18247,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC272/A/AC/35494533.c::main,1000,48951,22359,8008,18396,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35115590.c::main,1000,49894,22219,8294,19209,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35380208.c::main,1000,48853,22355,8011,18344,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC271/A/AC/35304357.c::main,1000,47439,21747,7915,17626,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35095739.c::main,1000,50080,23607,8321,17981,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC266/A/AC/34380723.c::main,1000,52401,22401,8210,21642,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34208277.c::main,1000,56739,22075,8688,25809,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34199446.c::main,1000,49311,22197,8286,18686,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC270/A/AC/35094196.c::output_array,1000,49688,22231,8544,18746,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34231450.c::main,1000,56166,22350,8387,25280,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34207074.c::main,1000,49607,22624,8192,18652,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34199446.c::main,1000,49500,22357,8516,18461,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC271/A/AC/35277402.c::main,1000,55885,21923,8256,25573,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC272/A/AC/35476851.c::main,1000,53989,22205,8387,23261,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC271/A/AC/35284976.c::main,1000,49735,22419,8527,18660,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC270/A/AC/35119485.c::main,1000,73138,22637,8618,41722,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC268/A/AC/34744242.c::main,1000,71780,22177,8139,41271,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC270/A/AC/35093126.c::main,1000,72311,22206,8422,41439,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/34231450.c::main,1000,72811,22627,8635,41334,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC271/A/AC/35285630.c::main,1000,78786,23129,8265,47236,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC268/A/AC/35013735.c::main,1000,80074,22510,8394,49010,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC272/A/AC/35565875.c::main,1000,71624,22014,8326,41132,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC270/A/AC/35129661.c::main,1000,80546,22663,8645,49055,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC268/A/AC/35212286.c::main,1000,71145,21877,8272,40851,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC271/A/AC/35287560.c::main,1000,72104,22007,8618,41293,2
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC268/A/AC/35076243.c::main,1000,144716,22387,8682,113487,2
