target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/100395.c,true,40,3 3 ,test2/ARC002/1/AC/62472.c::main test2/ARC002/1/AC/12313391.c::main ,5575 12320 ,[0 5 ][0 6 ],50665 52297 ,[388 388 388 186 186 ][383 ],1358,38440,5050,834,32511,25378,496,6637,1
test2/ARC002/1/WA/11978413.c,false,30,3 3 3 3 ,test2/ARC002/1/AC/99702.c::main test2/ARC002/1/AC/663154.c::main test2/ARC002/1/AC/861911.c::main test2/ARC002/1/AC/1569158.c::main ,43403 21534 25571 45941 ,[0 3 ][0 2 ][0 4 ][0 2 ],58214 60754 64083 66755 ,[221 380 ][380 380 ][221 ][380 186 380 186 186 ],10000,76356,4997,397,70855,4459,3002,63394,1
test2/ARC002/1/WA/11978670.c,true,40,3 ,test2/ARC002/1/AC/1894696.c::main ,36211 ,[0 2 ],51497 ,[380 380 ],920,15639,4871,385,10365,4468,247,5650,1
test2/ARC002/1/WA/12313346.c,true,40,3 ,test2/ARC002/1/AC/17925.c::main ,8644 ,[0 4 ],49501 ,[380 380 380 302 302 ],195,12252,4887,438,6915,5559,209,1147,1
test2/ARC002/1/WA/12410734.c,true,40,3 3 3 ,test2/ARC002/1/AC/7447.c::main test2/ARC002/1/AC/24805.c::main test2/ARC002/1/AC/1692099.c::main ,42726 46343 758 ,[0 3 0 0 ][0 6 ][0 1 ],55468 57979 60315 ,[380 221 380 221 221 ][380 380 380 186 186 ][221 ],4698,51086,5073,484,45469,4447,1492,39530,1
test2/ARC002/1/WA/13945459.c,true,40,3 ,test2/ARC002/1/AC/30584125.c::main ,33588 ,[0 1 ],49466 ,[380 186 380 186 380 186 186 ],172,13607,5021,366,8208,3382,241,4585,1
test2/ARC002/1/WA/13945546.c,true,40,3 ,test2/ARC002/1/AC/69249.c::main ,3518 ,[0 1 ],49094 ,[380 186 380 186 380 186 186 ],33,11558,5029,399,6119,5576,235,308,1
test2/ARC002/1/WA/13945615.c,true,40,3 ,test2/ARC002/1/AC/22739.c::main ,11777 ,[0 2 ],50072 ,[302 380 380 380 ],385,13902,4892,449,8547,6598,243,1706,1
test2/ARC002/1/WA/13945659.c,true,40,3 ,test2/ARC002/1/AC/9832.c::main ,46113 ,[0 2 ],49603 ,[380 380 380 186 186 ],225,13621,5024,412,8166,6645,234,1287,1
test2/ARC002/1/WA/140175.c,true,40,3 ,test2/ARC002/1/AC/3673534.c::main ,3330 ,[0 6 ],51616 ,[861 861 186 186 861 186 186 ],999,24515,5067,496,18933,14311,223,4399,1
test2/ARC002/1/WA/14788987.c,true,40,3 ,test2/ARC002/1/AC/14789000.c::main ,49764 ,[0 5 ],49808 ,[2014 186 186 ],47,32486,5594,455,26422,25853,216,353,1
test2/ARC002/1/WA/151312.c,true,40,3 ,test2/ARC002/1/AC/26241.c::main ,1090 ,[0 1 ],49291 ,[380 380 186 380 186 186 186 ],97,17743,5058,393,12275,7710,242,4323,1
test2/ARC002/1/WA/16628373.c,true,40,3 ,test2/ARC002/1/AC/41056805.c::main ,31236 ,[0 5 ],50143 ,[1046 186 186 ],733,27456,5380,537,21524,18086,120,3318,1
test2/ARC002/1/WA/17753.c,true,40,3 3 ,test2/ARC002/1/AC/6882.c::main test2/ARC002/1/AC/3382284.c::main ,5727 31074 ,[0 5 ][0 5 ],55794 57798 ,[221 ][384 302 384 302 384 302 302 ],3324,41226,5303,456,35419,7865,1247,26307,1
test2/ARC002/1/WA/17755.c,true,40,3 ,test2/ARC002/1/AC/3519469.c::main ,14546 ,[0 5 1 0 ],51409 ,[383 186 383 186 383 186 186 ],923,21829,4990,414,16408,7840,234,8334,1
test2/ARC002/1/WA/1894592.c,true,40,3 ,test2/ARC002/1/AC/90246.c::main ,9595 ,[0 1 ],49334 ,[861 861 861 186 186 ],35,12393,5177,438,6764,6187,253,324,1
test2/ARC002/1/WA/1894618.c,true,40,3 ,test2/ARC002/1/AC/1136852.c::main ,18938 ,[0 1 1 0 ],49421 ,[861 186 861 861 186 861 861 861 186 186 ],82,20630,5165,452,14998,14223,268,507,1
test2/ARC002/1/WA/20258.c,true,40,3 ,test2/ARC002/1/AC/69249.c::main ,5351 ,[0 1 ],49263 ,[380 186 380 186 380 186 186 ],107,12981,5060,409,7499,6625,260,614,1
test2/ARC002/1/WA/20259.c,true,40,3 ,test2/ARC002/1/AC/1502119.c::main ,40110 ,[0 1 ],49460 ,[380 186 380 186 380 186 186 ],187,16821,4628,424,11751,6662,237,4852,1
test2/ARC002/1/WA/20260.c,true,40,3 ,test2/ARC002/1/AC/594629.c::main ,10401 ,[0 1 ],49815 ,[380 380 186 380 186 186 186 ],274,13935,4939,421,8561,6677,251,1633,1
test2/ARC002/1/WA/2120412.c,true,40,3 ,test2/ARC002/1/AC/8283.c::main ,30414 ,[0 14 ],51189 ,[1046 186 1046 1046 186 186 186 ],771,59868,5514,847,53443,46517,245,6681,1
