target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/100395.c,true,40,3 ,test2/ARC002/1/AC/8283.c::main ,29213 ,[0 6 ],49476 ,[388 186 388 388 186 186 186 ],149,32854,5150,846,26838,25769,272,797,2
test2/ARC002/1/WA/11978413.c,false,30,3 2 3 3 ,test2/ARC002/1/AC/6882.c::main test2/ARC002/1/AC/12191966.c::main test2/ARC002/1/AC/99702.c::main ,5581 18446744073709551615 14021 43783 ,[0 3 0 0 ][0 2 0 0 ][0 4 ][0 2 ],50687 18446744073709551615 55503 57087 ,[221 380 ][][221 380 ][380 186 380 186 186 ],10000,57804,4833,411,52466,4499,2672,45295,2
test2/ARC002/1/WA/11978670.c,true,40,3 2 3 3 3 3 3 ,test2/ARC002/1/AC/157720.c::main test2/ARC002/1/AC/6871.c::main test2/ARC002/1/AC/8576.c::main test2/ARC002/1/AC/84932.c::main test2/ARC002/1/AC/38731719.c::main test2/ARC002/1/AC/7810268.c::main ,48175 18446744073709551615 42435 9104 9650 3633 36950 ,[0 1 ][0 3 ][0 4 ][0 3 ][0 2 ][0 1 ][0 2 ],51605 18446744073709551615 56376 57893 60261 64447 65084 ,[186 ][][129 ][380 380 380 186 186 ][186 ][221 ][221 ],6219,64761,4895,380,59394,4484,2278,52632,2
test2/ARC002/1/WA/12313346.c,true,40,3 ,test2/ARC002/1/AC/861911.c::main ,25452 ,[0 4 ],49207 ,[381 186 186 ],93,11699,4924,385,6378,5633,207,538,2
test2/ARC002/1/WA/12410734.c,false,30,3 3 3 2 ,test2/ARC002/1/AC/130904.c::main test2/ARC002/1/AC/4390503.c::main test2/ARC002/1/AC/2484453.c::main ,7981 5251 10777 18446744073709551615 ,[0 3 0 0 ][0 5 ][0 1 ][0 6 ],50597 53326 54740 18446744073709551615 ,[221 380 ][380 186 186 ][221 ][],10000,66018,5078,486,60340,4508,3048,52784,2
test2/ARC002/1/WA/13945459.c,true,40,3 ,test2/ARC002/1/AC/90254.c::main ,34767 ,[0 1 ],49117 ,[380 380 380 186 186 ],56,9333,4940,337,4041,3407,238,396,2
test2/ARC002/1/WA/13945546.c,true,40,3 ,test2/ARC002/1/AC/8787461.c::main ,39975 ,[0 1 ],49546 ,[380 380 186 380 186 186 186 ],213,12232,4978,404,6838,5595,256,987,2
test2/ARC002/1/WA/13945615.c,true,40,3 ,test2/ARC002/1/AC/7151051.c::main ,17124 ,[0 2 ],49310 ,[302 380 380 380 ],138,13363,4825,416,8104,6730,255,1119,2
test2/ARC002/1/WA/13945659.c,true,40,3 ,test2/ARC002/1/AC/7639.c::main ,5865 ,[0 2 ],49472 ,[380 380 380 380 380 380 186 186 186 186 ],181,13502,4912,381,8192,6671,248,1273,2
test2/ARC002/1/WA/140175.c,true,40,3 ,test2/ARC002/1/AC/959262.c::main ,3361 ,[0 6 ],50073 ,[186 861 861 861 ],382,26124,5137,491,20479,14454,208,5817,2
