target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/100395.c,true,40,3 ,test2/ARC002/1/AC/1136852.c::main ,19388 ,[0 6 ],56363 ,[383 390 221 382 384 388 186 186 ],3052,59756,4983,878,53802,25387,1240,27175,0
test2/ARC002/1/WA/11978413.c,false,20,1 3 ,test2/ARC002/1/AC/8078.c::main test2/ARC002/1/AC/485316.c::main ,15770 38740 ,[0 0 ][0 3 0 0 ],66539 69234 ,[221 ][380 302 302 ],10000,75720,4998,430,70189,4456,2926,62807,0
test2/ARC002/1/WA/11978670.c,true,40,3 ,test2/ARC002/1/AC/1894696.c::main ,37547 ,[0 2 ],49931 ,[380 380 ],367,11832,5179,393,6246,4441,220,1585,0
test2/ARC002/1/WA/12313346.c,true,40,3 ,test2/ARC002/1/AC/14789000.c::main ,48724 ,[0 4 ],49282 ,[381 186 186 ],99,11626,4585,433,6591,5579,194,818,0
test2/ARC002/1/WA/12410734.c,true,40,3 3 ,test2/ARC002/1/AC/861911.c::main test2/ARC002/1/AC/212078.c::main ,25994 27007 ,[0 1 ][0 6 ],54266 57284 ,[380 380 ][302 380 380 380 ],3445,38333,4940,484,32873,4485,1149,27239,0
test2/ARC002/1/WA/13945459.c,true,40,3 ,test2/ARC002/1/AC/2253328.c::main ,40922 ,[0 1 ],49208 ,[380 380 380 186 186 ],85,13255,4865,359,8004,3394,240,4370,0
test2/ARC002/1/WA/13945546.c,true,40,3 ,test2/ARC002/1/AC/22147693.c::main ,42975 ,[0 1 ],50372 ,[380 186 380 186 380 186 186 ],546,17582,4969,421,12176,5543,224,6409,0
test2/ARC002/1/WA/13945615.c,true,40,3 ,test2/ARC002/1/AC/6929.c::main ,26521 ,[0 2 ],50657 ,[302 380 380 380 ],552,14686,4850,429,9388,6630,253,2505,0
test2/ARC002/1/WA/13945659.c,true,40,3 ,test2/ARC002/1/AC/2484453.c::main ,10831 ,[0 2 ],49216 ,[380 186 380 380 186 186 ],69,12507,4794,412,7286,6621,228,437,0
test2/ARC002/1/WA/140175.c,true,40,3 ,test2/ARC002/1/AC/82646.c::main ,29860 ,[0 7 ],53685 ,[186 ],2000,35743,5306,521,29883,14313,474,15096,0
test2/ARC002/1/WA/14788987.c,true,40,3 ,test2/ARC002/1/AC/641731.c::main ,6345 ,[0 5 ],55482 ,[186 2014 ],2336,43768,5943,452,37345,26020,768,10557,0
test2/ARC002/1/WA/151312.c,true,40,3 ,test2/ARC002/1/AC/22739.c::main ,11810 ,[0 1 1 0 ],49280 ,[302 380 380 380 ],100,17672,4836,355,12453,7753,221,4479,0
test2/ARC002/1/WA/16628373.c,true,40,3 ,test2/ARC002/1/AC/41056805.c::main ,32391 ,[0 5 ],52087 ,[1046 186 186 ],2442,35567,5070,553,29909,18083,371,11455,0
test2/ARC002/1/WA/17753.c,false,30,3 ,test2/ARC002/1/AC/78429.c::main ,27911 ,[0 5 ],70753 ,[384 186 381 186 383 186 186 ],10000,89566,4793,418,84256,7890,2963,73403,0
test2/ARC002/1/WA/17755.c,false,30,3 ,test2/ARC002/1/AC/1502119.c::main ,38708 ,[0 5 ],54552 ,[383 186 186 ],10000,88407,5003,430,82869,7838,2919,72112,0
test2/ARC002/1/WA/1894592.c,true,40,3 ,test2/ARC002/1/AC/407245.c::main ,5473 ,[0 1 ],49277 ,[186 861 861 861 ],44,12443,5239,437,6753,6187,224,342,0
test2/ARC002/1/WA/1894618.c,true,40,3 ,test2/ARC002/1/AC/32371482.c::main ,24763 ,[0 1 1 0 ],50466 ,[861 861 186 861 186 186 186 ],466,22767,5370,481,16889,14209,242,2438,0
test2/ARC002/1/WA/20258.c,true,40,3 ,test2/ARC002/1/AC/22739.c::main ,12213 ,[0 1 ],50658 ,[302 380 380 380 ],595,19106,5125,432,13515,6623,260,6632,0
test2/ARC002/1/WA/20259.c,true,40,3 3 ,test2/ARC002/1/AC/7639.c::main test2/ARC002/1/AC/1332763.c::main ,5115 31873 ,[0 2 ][0 1 ],54777 57061 ,[381 380 186 221 221 ][302 380 380 380 ],3079,36369,4935,431,30961,6633,1211,23117,0
test2/ARC002/1/WA/20260.c,true,40,3 ,test2/ARC002/1/AC/30584125.c::main ,32055 ,[0 1 ],67947 ,[380 186 380 186 380 186 186 ],6584,56783,4897,403,51406,6663,2194,42549,0
test2/ARC002/1/WA/2120412.c,false,30,3 3 ,test2/ARC002/1/AC/5559376.c::main test2/ARC002/1/AC/7618.c::main ,36922 29483 ,[0 1 ][0 14 ],51007 52580 ,[221 ][1048 186 186 ],10000,148017,5500,890,141442,46452,3006,91984,0
