target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC272/A/WA/35469736.c,target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC265/A/WA/34202153.c,false,10000,56507,55944,false,10000,142794,119928,false,10000,178738,146907,false,10000,174038,142277,false,10000,191186,159295,
test/ABC265/A/WA/34206891.c,false,10000,59574,59091,false,10000,119159,96590,false,10000,140466,109211,false,10000,149979,118888,false,10000,113983,82671,
test/ABC265/A/WA/34207296.c,
test/ABC265/A/WA/34208829.c,true,33,9172,8697,true,35,72462,49803,true,35,76804,44581,true,32,77433,45490,true,33,77781,45877,
test/ABC265/A/WA/34211322.c,false,10000,174737,174217,false,10000,160527,137778,true,2188,105312,72865,true,2470,113023,81270,true,1151,96508,64497,
test/ABC265/A/WA/34212385.c,true,431,4269,3759,true,275,98182,75702,true,309,98878,66790,true,230,101488,69155,true,511,101999,69833,
test/ABC265/A/WA/34212475.c,false,10000,122073,121375,false,10000,257834,235096,false,10000,259350,225357,false,10000,253691,219878,false,10000,276809,242686,
test/ABC265/A/WA/34212857.c,false,10000,143601,141644,false,10000,318432,295263,false,10000,366532,333622,false,10000,365898,333172,false,10000,376964,343981,
test/ABC265/A/WA/34212989.c,false,10000,42775,42274,false,10000,79825,56527,false,10000,83286,51354,false,10000,86922,55157,false,10000,84125,52257,
test/ABC265/A/WA/34214116.c,false,10000,42625,42192,false,10000,78926,56422,false,10000,82289,50319,false,10000,85864,54151,false,10000,85719,53494,
test/ABC265/A/WA/34216199.c,false,10000,130133,129602,true,847,66352,43700,false,10000,187598,155604,false,10000,198385,165764,false,10000,196591,164173,
test/ABC265/A/WA/34216809.c,false,10000,51067,50563,false,10000,128617,106065,false,10000,146109,114223,false,10000,147584,115664,false,10000,137908,105830,
test/ABC265/A/WA/34216825.c,false,10000,55975,55485,false,10000,116407,93680,false,10000,152913,121338,false,10000,144601,113153,false,10000,121141,89674,
test/ABC265/A/WA/34217623.c,false,10000,44249,43792,false,10000,159025,136447,false,10000,188410,156419,false,10000,176954,144774,false,10000,144972,112892,
test/ABC265/A/WA/34218341.c,false,10000,55577,55090,false,10000,106410,83818,false,10000,145076,113517,false,10000,146237,114652,false,10000,151670,119999,
