target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC268/A/AC/34812138.c::main,322,76750,22129,8722,45721,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35098646.c::main,1000,56803,22686,8001,25950,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC267/A/AC/34549410.c::main,1000,54282,22072,8367,23698,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/34343434.c::main,1000,80193,22180,8732,49112,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34326395.c::main,1000,147685,22119,8913,116440,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35197025.c::main,1000,71732,22116,8338,41085,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC272/A/AC/35473855.c::main,1000,124841,22263,8603,93749,0
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC265/A/AC/34287781.c::main,1000,76586,22356,8517,45450,0
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC269/A/AC/34922888.c::main,1000,78419,22396,8160,47700,0
test/ABC265/A/WA/34292112.c,0.1,false,test/ABC272/A/AC/35575221.c::main,1000,79023,22116,8342,48410,0
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC268/A/AC/35212286.c::main,1000,77205,22338,8295,46414,0
test/ABC265/A/WA/35416554.c,0.1,false,test/ABC267/A/AC/34537724.c::main,1000,78236,22276,8403,47366,0
test/ABC266/A/WA/34387647.c,0.1,false,test/ABC267/A/AC/34536782.c::main,1000,64353,22654,8451,33096,0
test/ABC266/A/WA/34388373.c,0.1,false,test/ABC265/A/AC/34204425.c::main,1000,69660,22483,8319,38698,0
test/ABC266/A/WA/34389174.c,0.1,false,test/ABC267/A/AC/34540415.c::main,1000,64823,22458,8356,33870,0
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC270/A/AC/35099179.c::main,1000,74637,22261,8276,43904,0
test/ABC266/A/WA/34515128.c,0.1,false,test/ABC270/A/AC/35098646.c::main,1000,81321,22441,8719,49951,0
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC266/A/AC/35370793.c::main,1000,53975,22597,8548,22668,0
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC270/A/AC/35093310.c::main,1000,51095,22335,8278,20328,0
test/ABC266/A/WA/34520659.c,0.1,false,test/ABC266/A/AC/34371634.c::main,1000,52900,22248,8276,22231,0
