target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35284976.c::main,932,79769,22443,8857,48277,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35284076.c::main,694,79177,22449,8649,47904,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35287560.c::main,118,75323,22479,8299,44394,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC265/A/AC/35216313.c::main,245,75103,22554,8473,43891,2
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC267/A/AC/34814797.c::main,3521,114261,22520,8480,83067,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC272/A/AC/35473836.c::main,10000,136728,22293,7806,106352,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC269/A/AC/34924677.c::main,10000,116543,22462,7999,85869,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC269/A/AC/35354508.c::main,10000,104686,22273,8070,74105,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35115224.c::main,10000,107686,22491,8319,76617,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC269/A/AC/35438929.c::main,10000,109408,22054,8394,78783,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC272/A/AC/35477677.c::main,10000,154603,22168,8345,123785,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC269/A/AC/35063438.c::main,10000,143997,22588,8168,112984,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34275800.c::main,10000,149080,22495,8225,118152,2
test/ABC265/A/WA/34220909.c,0.1,true,test/ABC265/A/AC/34884076.c::main,2625,60472,21836,8349,30137,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/35436053.c::main,10000,122050,22316,8472,91018,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC267/A/AC/34535328.c::main,10000,163564,22413,8445,132440,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC270/A/AC/35259663.c::main,10000,166444,22484,8156,135569,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC268/A/AC/34851893.c::main,10000,150117,22182,8401,119281,2
